"RelativePath","Name","Extension","SizeMB","SizeBytes","CreationTime","LastWriteTime"
"\Karty Badaczy\Konrad Kleszcz.card","Konrad Kleszcz.card",".card","0,21","222793","16.01.2026 21:26:17","26.01.2026 16:42:09"
"\Karty Badaczy\Michał z Bargłowa token.card","Michał z Bargłowa token.card",".card","1,81","1899098","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Karty Badaczy\Michał z Bargłowa.card","Michał z Bargłowa.card",".card","2,01","2109926","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Karty Badaczy\Paprykarz.card","Paprykarz.card",".card","2,52","2644904","16.01.2026 21:26:17","02.02.2026 22:14:53"
"\Karty Badaczy\paprykarz.png","paprykarz.png",".png","1,89","1983025","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Karty Badaczy\Szyszek Nowacki.card","Szyszek Nowacki.card",".card","5,61","5884482","20.01.2026 22:17:34","17.04.2026 11:11:18"
"\Karty Badaczy\szyszek nowiczok. sylwetkapng.png","szyszek nowiczok. sylwetkapng.png",".png","4,05","4246900","20.01.2026 22:21:19","20.01.2026 22:21:19"
"\Karty Badaczy\szyszek nowiczok.png","szyszek nowiczok.png",".png","7,59","7957348","20.01.2026 22:21:19","20.01.2026 22:21:19"
"\Karty Badaczy\Taca Ofiarna.card","Taca Ofiarna.card",".card","0,26","273569","16.01.2026 21:26:17","16.01.2026 23:25:48"
"\Karty Badaczy\Wieczne Dylematy.card","Wieczne Dylematy.card",".card","10,89","11415703","20.01.2026 22:21:19","20.01.2026 22:26:39"
"\Karty Badaczy\wieczne dylematy.png","wieczne dylematy.png",".png","8,16","8560814","20.01.2026 22:21:19","20.01.2026 22:21:19"
"\Karty Badaczy\wojciech robak sylwetka.png","wojciech robak sylwetka.png",".png","5,31","5562962","20.01.2026 22:21:19","20.01.2026 22:21:19"
"\Karty Badaczy\Wojciech Robak token card.card","Wojciech Robak token card.card",".card","3,34","3501350","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Karty Badaczy\Wojciech Robak.card","Wojciech Robak.card",".card","10,42","10921091","16.01.2026 21:26:17","02.02.2026 22:14:54"
"\Karty Badaczy\wojciech robak.png","wojciech robak.png",".png","2,5","2625603","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Karty Badaczy\Znikanie Bez Śladu.card","Znikanie Bez Śladu.card",".card","3,01","3152503","20.01.2026 22:45:09","20.01.2026 23:14:24"
"\Karty Lokacji\scenariusz 1\Kluczowe\Kościół.card","Kościół.card",".card","4,65","4875584","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Kluczowe\Przerażony Wikariusz.card","Przerażony Wikariusz.card",".card","1,8","1882319","27.01.2026 09:41:19","08.02.2026 11:20:26"
"\Karty Lokacji\scenariusz 1\Kluczowe\Przerażony Wikariusz_back.png","Przerażony Wikariusz_back.png",".png","1,17","1226458","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Kluczowe\Przerażony Wikariusz_front.png","Przerażony Wikariusz_front.png",".png","1,41","1481502","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Kluczowe\Przybrzeżna rampa załadunkowa 7.card","Przybrzeżna rampa załadunkowa 7.card",".card","3,5","3666358","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Kluczowe\Przybrzeżna rampa załadunkowa 7_back.png","Przybrzeżna rampa załadunkowa 7_back.png",".png","1,33","1393519","08.02.2026 11:20:26","08.02.2026 11:20:26"
"\Karty Lokacji\scenariusz 1\Kluczowe\Przybrzeżna rampa załadunkowa 7_front.png","Przybrzeżna rampa załadunkowa 7_front.png",".png","1,42","1488544","08.02.2026 11:20:26","08.02.2026 11:20:26"
"\Karty Lokacji\scenariusz 1\Kluczowe\Skraj Lasu.card","Skraj Lasu.card",".card","5,5","5767307","08.02.2026 11:20:27","08.02.2026 11:20:27"
"\Karty Lokacji\scenariusz 1\Kluczowe\Zachrystia.card","Zachrystia.card",".card","4,01","4203587","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Kluczowe\Środek wioski.card","Środek wioski.card",".card","6,32","6623151","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Losowe\9 Warsztat Kowalski.card","9 Warsztat Kowalski.card",".card","3,7","3878165","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Losowe\Kapliczka 8.card","Kapliczka 8.card",".card","3,67","3853005","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Losowe\Kostnica 12.card","Kostnica 12.card",".card","4,39","4598143","27.01.2026 09:41:19","27.01.2026 09:41:19"
"\Karty Lokacji\scenariusz 1\Losowe\Pod Rogatym 3.card","Pod Rogatym 3.card",".card","13,94","14621316","27.01.2026 09:41:19","02.02.2026 22:14:54"
"\Karty Lokacji\scenariusz 1\Losowe\Skład Drewna 10.card","Skład Drewna 10.card",".card","6,03","6321048","27.01.2026 09:41:19","27.01.2026 09:41:19"
